tweet_id,created_at,text,favorties,retweets
1299333019862536195,2020-08-28 13:08:27,RT @dready73: My favorite new feature in #Nutanix #AOS 5.18: Richt-Click-Menu in Prism Elements :) https://t.co/uuZZQmPoGc,0,7
1299317520239915011,2020-08-28 12:06:51,"RT @patrickdamen: @nutanix #NEXTConf  2020 is coming. Enjoy from home (although I will miss my fellow #NutanixNTC). Sept 8-11, register her…",0,2
1299145285680140289,2020-08-28 00:42:27,"How to Interact with Shares in the Nutanix Files Test Drive

#Nutanix #vCommunity #NutanixTestDrive… https://t.co/cUH17Yn4hT",2,1
1299060963723874306,2020-08-27 19:07:23,RT @dready73: It was my first @Nutanix .NEXT three years ago in sunny Nice. This year will be different but still looking forward to #Nutan…,0,2
1299003611129827328,2020-08-27 15:19:29,RT @AngeloLuciani: Wondering how many folks still have their #NEXTConf converse sneakers from Nutanix .NEXT Miami - I know folks loved them…,0,2
1298967068277116928,2020-08-27 12:54:17,It was a pleasure having you at #NEXTConf @al_rasheed 👍 https://t.co/jgUTnW481S,2,0
1298666410231595008,2020-08-26 16:59:34,RT @AngeloLuciani: With Nutanix #NEXTConf just around the corner - I was reflecting on our very first .NEXT in Miami - it was great to see…,0,5
1298304228532920321,2020-08-25 17:00:24,"🚨  Attention #Nutanix Customers! 🚨 

Test Drive Clusters for a chance to win a Boom Speaker.

Join… https://t.co/GEBEhxq9Kq",6,4
1298294404030111744,2020-08-25 16:21:21,"Join @al_rasheed and the #vCommunity at #NEXTConf 👍

Read about it 👉 .NEXT 2020 https://t.co/Q7YqA7Ca9a

Register t… https://t.co/TSkHRrM16M",3,1
1298048580289277952,2020-08-25 00:04:32,"Experience Simple and Performant Data Consolidation with Nutanix Objects

#Nutanix #vCommunity #NutanixObjects… https://t.co/0Cg3uFD8dk",5,2
1297876157560430592,2020-08-24 12:39:23,"RT @dbretty: Bit of A Saturday night post. Simple, Elegant and Extremely Powerful - that’s my description of @Nutanix #Move read how to set…",0,12
1297876072248336384,2020-08-24 12:39:03,RT @dbretty: Got to say the foundation team @nutanix have done an excellent job. The simple feature of auto filling the new IPMI passwords…,0,6
1297874754691633153,2020-08-24 12:33:49,"RT @Jiff_Lemon: Rockets are complicated, but #Nutanix AHV is easy. Learn how to deploy, configure, and manage virtualization in just a few…",0,1
1297874601389719554,2020-08-24 12:33:12,RT @leonhardtla: [Blog Archive] Nutanix Files (AFS): Instalación y configuración - Parte 1 https://t.co/RCiZz4D3ND @NutanixNation,0,1
1297874557097971713,2020-08-24 12:33:02,RT @leonhardtla: [Blog Archive] Nodo atascado (stuck) después de Life Cycle Manager https://t.co/cAIbKHyJif @NutanixNation #Nutanix,0,2
1296898525566046209,2020-08-21 19:54:38,"RT @AngeloLuciani: Join me Sept 8 - 10 and the #vCommunity for three days of learning and fun online for #NEXTConf 👍

🔥 Spark your curiosit…",0,4
1296879280648003585,2020-08-21 18:38:10,"Try Test Drive for Nutanix Clusters—Creating and Managing Your Hybrid and Multicloud Is a Breeze

#Nutanix… https://t.co/ltdSpSY9sd",4,2
1296483136231084032,2020-08-20 16:24:01,"Data Protection in the Digital Economy

#Nutanix #vCommunity #Cloud

https://t.co/jZUoJn0CJ9 https://t.co/JB2xb18Cq4",1,0
1296133533493268480,2020-08-19 17:14:50,"Carbonite and Nutanix Eases Migration for YMCA

#Nutanix #vCommunity #Cloud

https://t.co/m1V6LRwxkJ https://t.co/3cIsIEbjOr",0,0
1295818634896347137,2020-08-18 20:23:32,"RT @NutanixEDU: 🚨  NCAP 5.15 is here.. And it has a new name! 🚨 

Nutanix Certified Master - Multicloud Infrastructure (NCM-MCI)

This is t…",0,13
1295494733981261824,2020-08-17 22:56:28,"Nice summary from @dready73 👍 

#vCommunity #Cloud #Nutanix https://t.co/teTE6Wrllg",1,2
1295406241632722944,2020-08-17 17:04:50,"Nutanix Files 3.7: Improving Density, Availability, Flexibility and Performance

#NutanixFiles #vCommunity #Cloud… https://t.co/Zn9QapZkk6",2,0
1295352856955035648,2020-08-17 13:32:42,"Congrats to the XTRIBE advocate of the month for July - Arpan Rakshit, System Administrator at Bandhan Bank Ltd! 🏆… https://t.co/2KTMtwVhAX",7,1
1294481332756721666,2020-08-15 03:49:34,"Did you know you can take FREE practice exams on #NutanixUniversity?

Start your journey to get certified today!… https://t.co/ojPZnKqiuD",5,2
1294120500097101825,2020-08-14 03:55:45,"In this video, you will learn how to integrate Calm with Azure DevOps CI/CD pipelines! #NutanixUniversity… https://t.co/zIcgEutRLB",4,2
1293757367700652035,2020-08-13 03:52:47,"Stay up to date with the #Nutanix Community!

Episode #81 (Part 2 of 4) has @vcdx133 talking about certifications i… https://t.co/KYfPjNXa14",7,4
1293332872456282112,2020-08-11 23:46:00,"RT @diegodco: Accessing Nutanix Cluster on AWS.
#nutanix #nutanixntc https://t.co/gruGTAjh5g",0,4
1293263423296417792,2020-08-11 19:10:02,"RT @xenappblog: How to run @Nutanix Clusters on AWS including price chart #nutanixntc
https://t.co/Kpqs965ldQ",0,7
1293206040155230208,2020-08-11 15:22:01,RT @diegodco: Today Nutanix brought great news to its customers: the possibility of creating a Nutanix Cluster on AWS. https://t.co/bDiHcor…,0,3
1293156865522663424,2020-08-11 12:06:37,"RT @AngeloLuciani: Nutanix Clusters on AWS 👏 👏

Check out the latest news 👉 https://t.co/EgVdfkKbVj

#vCommunity #HybridCloud #Nutanix http…",0,20
1292245711954870272,2020-08-08 23:46:01,RT @nutanix: We are bringing you some exciting new cloud news! Join us LIVE on Aug. 11 at 10am PDT to hear our new announcement. Sign up he…,0,12
1291762029079007234,2020-08-07 15:44:02,"Stay connected with the #Nutanix Community!

The most recent podcast (Part 1 of Part 4) has @vcdx133 talking about… https://t.co/QAYh4puYio",4,0
1291411468458643456,2020-08-06 16:31:02,"Get started with #Nutanix community edition today!

https://t.co/lkhw5CyJ05 https://t.co/X7mAaspih7",6,4
1291044564900421635,2020-08-05 16:13:05,"Protecting Your Business’s Data in the HCI Age

#vCommunity #sysadmin #Nutanix #dataprotection… https://t.co/f2SVe7OBDD",1,0
1290692483614150658,2020-08-04 16:54:02,"50% OFF? Yes!

#Nutanix certification exams are now just $99!

Take advantage now: https://t.co/Uej2bVxTu5 https://t.co/ASiB28xYEF",0,0
